,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,categories,url
1091,2002,New Liskeard Mini-Putt,"1 Fleming Dr, New Liskeard, Ontario",47.5046166,-79.6754486,"1 Fleming Dr, New Liskeard, Temiskaming Shores, Ontario Canada",T1091,3.7,"['Game & Entertainment Centres', 'Game & Entertainment Centres']",https://www.tripadvisor.ca/Attraction_Review-g1893213-d3258412-Reviews-New_Liskeard_Mini_Putt-New_Liskeard_Temiskaming_Shores_Northeastern_Ontario_Onta.html
1092,2003,The Cobalt Miner's Tavern,"75 Lang Street, Cobalt, Ontario",47.3988032,-79.6798658,"75 Lang Street, Cobalt, Temiskaming Shores, Ontario P0J 1C0 Canada",T1092,3.7,"['Bars & Clubs', 'Bars & Clubs']",https://www.tripadvisor.ca/Attraction_Review-g1116703-d5920593-Reviews-The_Cobalt_Miner_s_Tavern-Cobalt_Temiskaming_Shores_Northeastern_Ontario_Ontario.html
1093,2050,Lock 7 Viewing Complex,"50 Chapel Street, Thorold, Ontario",43.0946734,-79.242729,"50 Chapel Street L2v 2c6, Thorold, Ontario Canada",T1093,4.5,"['Points of Interest & Landmarks', 'Points of Interest & Landmarks']",https://www.tripadvisor.ca/Attraction_Review-g616303-d4308788-Reviews-Lock_7_Viewing_Complex-Thorold_Ontario.html
1094,2052,Merrittville Speedway,"2371 Merrittville Highway, Thorold, Ontario",43.077721,-79.2520774,"2371 Merrittville Highway L2v 3y9, Thorold, Ontario Canada",T1094,4.5,"['Auto Race Tracks', 'Auto Race Tracks']",https://www.tripadvisor.ca/Attraction_Review-g616303-d4308790-Reviews-Merrittville_Speedway-Thorold_Ontario.html
1095,2053,Port Robinson Park,"1 River Street, Thorold, Ontario",43.0375293,-79.2105293,"1 River Street, Thorold, Ontario L2V 3K1 Canada",T1095,4.8,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g616303-d13331286-Reviews-Port_Robinson_Park-Thorold_Ontario.html
1096,2057,First Nations Peace Monument,"DeCew Road in, Thorold, Ontario",43.1071315,-79.2477342,"DeCew Road in DeCew House Heritage Park, Thorold, Ontario Canada",T1096,4.0,"['Monuments & Statues', 'Monuments & Statues']",https://www.tripadvisor.ca/Attraction_Review-g616303-d15695490-Reviews-First_Nations_Peace_Monument-Thorold_Ontario.html
1097,2059,Thorold and Beaverdams Historical Society Museum,"50 Chapel St, Thorold, Ontario",43.0946734,-79.242729,"50 Chapel St S, Thorold, Ontario L2V 2C6 Canada",T1097,3.0,"['History Museums', 'History Museums']",https://www.tripadvisor.ca/Attraction_Review-g616303-d11915405-Reviews-Thorold_and_Beaverdams_Historical_Society_Museum-Thorold_Ontario.html
1098,2061,Zen Massage & Nutrition,"6 Ormond Street, Thorold, Ontario",43.12538858,-79.19884046,"6 Ormond Street, Thorold, Ontario Canada",T1098,5.0,"['Spas', 'Spas']",https://www.tripadvisor.ca/Attraction_Review-g616303-d7246335-Reviews-Zen_Massage_Nutrition-Thorold_Ontario.html
1099,2062,Chapel Street Designs Artisan Boutique,"46B Front St, Thorold, Ontario",43.1266398,-79.20071852,"46B Front St S, Thorold, Ontario L2V 1W9 Canada",T1099,4.8,"['Gift & Speciality Shops', 'Gift & Speciality Shops']",https://www.tripadvisor.ca/Attraction_Review-g616303-d15355595-Reviews-Chapel_Street_Designs_Artisan_Boutique-Thorold_Ontario.html
1100,2064,The Overtime Pub,"206 Richmond St, Thorold, Ontario",43.1074644,-79.2317902,"206 Richmond St Unit 9, Thorold, Ontario L2V 4L8 Canada",T1100,3.0,"['Bars & Clubs', 'Bars & Clubs']",https://www.tripadvisor.ca/Attraction_Review-g616303-d5921252-Reviews-The_Overtime_Pub-Thorold_Ontario.html
1101,2065,Moose and Goose,"54 Front St, Thorold, Ontario",43.1229197,-79.2004496,"54 Front St S, Thorold, Ontario L2V 1X1 Canada",T1101,3.0,"['Bars & Clubs', 'Bars & Clubs']",https://www.tripadvisor.ca/Attraction_Review-g616303-d5920975-Reviews-Moose_and_Goose-Thorold_Ontario.html
1102,2066,Da Bomb! Bath Co,"59 Front St, Thorold, Ontario",43.1253929,-79.2007783,"59 Front St S, Thorold, Ontario L2V 1W8 Canada",T1102,4.2,"['Gift & Speciality Shops', 'Gift & Speciality Shops']",https://www.tripadvisor.ca/Attraction_Review-g616303-d10211636-Reviews-Da_Bomb_Bath_Co-Thorold_Ontario.html
1103,2067,Thorold Community Theatre,"15 Pine St, Thorold, Ontario",43.115925,-79.1993927,"15 Pine St S Trinity United Church - Assembly Room, Thorold, Ontario L2V 3L1 Canada",T1103,5.0,"['Performances', 'Performances']",https://www.tripadvisor.ca/Attraction_Review-g616303-d10238529-Reviews-Thorold_Community_Theatre-Thorold_Ontario.html
