,Unnamed: 0,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,price,categories,diets,url
64,64,73,Zios by giancarlo,"110 Anne St, Barrie, Ontario",44.384536,-79.7066219,"110 Anne St S, Barrie, Ontario L4N 2E3 Canada",R64,4.8,2.5,"['Italian', 'Pizza', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154980-d13076000-Reviews-Zios_by_giancarlo-Barrie_Ontario.html
66,66,75,Cicco's Ristorante,"170 Prince William, Barrie, Ontario",44.3528905,-79.61151020000001,"170 Prince William Way, Barrie, Ontario L9J 0G7 Canada",R66,4.0,2.5,"['Italian', 'Pizza', 'Canadian']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d5999885-Reviews-Cicco_s_Ristorante-Barrie_Ontario.html
68,68,77,Redline Brewhouse,"431 Bayview Dr, Barrie, Ontario",44.344522999999995,-79.67721479999999,"431 Bayview Dr Unit 8 & 9, Barrie, Ontario L4N 8Y2 Canada",R68,3.9,2.5,"['American', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d8487825-Reviews-Redline_Brewhouse-Barrie_Ontario.html
71,71,80,Spoon & Fork,"130 Park Place, Barrie, Ontario",44.3399988,-79.68214248252316,"130 Park Place Blvd, Barrie, Ontario L4N 6P1 Canada",R71,3.8,2.5,"['Japanese', 'Sushi', 'Asian']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d12506491-Reviews-Spoon_Fork-Barrie_Ontario.html
72,72,81,The Italian Eatery,"90 Park Place, Barrie, Ontario",44.3399988,-79.68214248252316,"90 Park Place Blvd Unit #6, Barrie, Ontario L4N 6P8 Canada",R72,4.2,2.5,"['Italian', 'Pizza', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154980-d10626851-Reviews-The_Italian_Eatery-Barrie_Ontario.html
74,74,84,Jacks Pancake Factory,"222 Mapleview Dr, Barrie, Ontario",44.3400782,-79.6861197,"222 Mapleview Dr W Unit 7, Barrie, Ontario L4N 9E7 Canada",R74,4.6,2.5,"['Canadian', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d14762332-Reviews-Jacks_Pancake_Factory-Barrie_Ontario.html
75,75,85,Chef Chan,"190 Minet's Point, Barrie, Ontario",44.370477799999996,-79.66903889363411,"190 Minet's Point Rd, Barrie, Ontario L4N 4C3 Canada",R75,4.4,2.5,"['Chinese', 'Asian', 'Cantonese']",[],https://www.tripadvisor.ca/Restaurant_Review-g154980-d8484469-Reviews-Chef_Chan-Barrie_Ontario.html
76,76,86,Lone Star Texas Grill,"140 Park Place, Barrie, Ontario",44.3399988,-79.68214248252316,"140 Park Place Blvd, Barrie, Ontario L4N 6P1 Canada",R76,3.5,2.5,"['Mexican', 'Steakhouse', 'Southwestern']",[],https://www.tripadvisor.ca/Restaurant_Review-g154980-d3508883-Reviews-Lone_Star_Texas_Grill-Barrie_Ontario.html
79,79,89,The WORKS Craft Burgers & Beer,"137 Dunlop St, Barrie, Ontario",44.3795395,-79.7113748,"137 Dunlop St E, Barrie, Ontario L4M 1A6 Canada",R79,3.7,2.5,"['American', 'Bar', 'Canadian']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d4570388-Reviews-The_WORKS_Craft_Burgers_Beer-Barrie_Ontario.html
80,80,90,Pie Wood Fired Pizza Joint,"11 Victoria St, Barrie, Ontario",44.38104620000001,-79.6912305,"11 Victoria St, Barrie, Ontario L4N 6T3 Canada",R80,3.7,2.5,"['Italian', 'Bar', 'Pizza']","['vegetarian friendly', 'vegan options', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d4600836-Reviews-Pie_Wood_Fired_Pizza_Joint-Barrie_Ontario.html
85,96,109,Ku Mo Sushi,"71 Millennium Pky, Belleville, Ontario",44.19200000321381,-77.40809293077433,"71 Millennium Pky, Belleville, Ontario K8N 4Z5 Canada",R96,4.7,2.5,"['Japanese', 'Sushi', 'Asian']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d10640776-Reviews-Ku_Mo_Sushi-Belleville_Ontario.html
87,98,112,Captain George's Fish and Chips,"150 Sidney St, Belleville, Ontario",44.16029123,-77.39861710666666,"150 Sidney St, Belleville, Ontario K8P 5E2 Canada",R98,4.3,2.5,"['Seafood', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4881994-Reviews-Captain_George_s_Fish_and_Chips-Belleville_Ontario.html
88,99,113,India Curry House,"180 North Front, Belleville, Ontario",44.17862995,-77.39185437500002,"180 North Front St, Belleville, Ontario K8P 3B9 Canada",R99,4.1,1.0,"['Indian', 'Vegetarian Friendly', 'Vegan Options']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d3543437-Reviews-India_Curry_House-Belleville_Ontario.html
90,103,119,Pho Viet,"62 Dundas St, Belleville, Ontario",44.15898615,-77.38953621081149,"62 Dundas St W Unit 4, Belleville, Ontario K8P 1A3 Canada",R103,4.1,1.0,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154981-d1234793-Reviews-Pho_Viet-Belleville_Ontario.html
91,104,120,Bourbon & Bean Handshake Society,"281 Front St, Belleville, Ontario",44.16593344300662,-77.38495011858359,"281 Front St Near Victoria, Belleville, Ontario K8N 2Z6 Canada",R104,4.9,2.5,['Canadian'],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d14879936-Reviews-Bourbon_Bean_Handshake_Society-Belleville_Ontario.html
92,105,121,Sans-Souci,"240 Front St, Belleville, Ontario",44.164821200000006,-77.3848097,"240 Front St, Belleville, Ontario K8N 2Z2 Canada",R105,4.2,2.5,"['Canadian', 'Vegetarian Friendly', 'Gluten Free Options']","['vegetarian friendly', 'gluten free options']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d2535457-Reviews-Sans_Souci-Belleville_Ontario.html
94,107,123,Signal Brewing Company,"87 River Rd, Corbyville, Ontario",44.24779960000001,-77.3160615,"87 River Rd, Corbyville, Belleville, Ontario Canada",R107,3.6,2.5,"['Bar', 'Pub', 'Canadian']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g3566740-d12726256-Reviews-Signal_Brewing_Company-Corbyville_Belleville_Ontario.html
97,110,129,Harbour Cafe,"33 South Pinnacle, Belleville, Ontario",44.1578393764706,-77.37955827058823,"33 South Pinnacle St, Belleville, Ontario K8N 3A1 Canada",R110,4.3,2.5,"['Cafe', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d5292399-Reviews-Harbour_Cafe-Belleville_Ontario.html
99,112,132,The 116 Bistro,"116 Pinnacle St, Belleville, Ontario",44.16156761818181,-77.38163942727273,"116 Pinnacle St, Belleville, Ontario K8N 3A4 Canada",R112,4.0,1.0,"['Cafe', 'Deli', 'Diner']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154981-d15242722-Reviews-The_116_Bistro-Belleville_Ontario.html
100,113,134,Shoeless Joe's Sports Grill - Belleville,"13 Bell Blvd, Belleville, Ontario",44.1883936,-77.39545246666667,"13 Bell Blvd, Belleville, Ontario K8P 4S5 Canada",R113,3.5,2.5,"['American', 'Vegetarian Friendly']",['vegetarian friendly'],https://www.tripadvisor.ca/Restaurant_Review-g154981-d11988070-Reviews-Shoeless_Joe_s_Sports_Grill_Belleville-Belleville_Ontario.html
101,114,136,Mr. Zed's Subs & Burgers,"322 Front St, Belleville, Ontario",44.16685787426609,-77.38577602965141,"322 Front St, Belleville, Ontario K8N 2Z8 Canada",R114,4.5,1.0,['International'],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d976775-Reviews-Mr_Zed_s_Subs_Burgers-Belleville_Ontario.html
102,115,137,Thai Garden,"151 Pinnacle St, Belleville, Ontario",44.16188753571429,-77.38140318571429,"151 Pinnacle St, Belleville, Ontario K8N 3A5 Canada",R115,3.8,2.5,"['Asian', 'Thai', 'Vegetarian Friendly']","['vegetarian friendly', 'vegan options']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d5107611-Reviews-Thai_Garden-Belleville_Ontario.html
104,117,139,Chuck's Roadhouse Bar and Grill,"305 North Front, Belleville, Ontario",44.18450152222222,-77.39430313611112,"305 North Front St, Belleville, Ontario K8P 3C3 Canada",R117,3.3,2.5,"['American', 'Steakhouse', 'Bar']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d8503618-Reviews-Chuck_s_Roadhouse_Bar_and_Grill-Belleville_Ontario.html
105,118,140,The Beaufort Pub,"173 Dundas St, Belleville, Ontario",44.1623964,-77.37109240000001,"173 Dundas St E, Belleville, Ontario K8N 1C9 Canada",R118,3.8,2.5,"['Bar', 'British', 'Pub']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d8449440-Reviews-The_Beaufort_Pub-Belleville_Ontario.html
106,119,141,Modern Cafe,"190 Front St, Belleville, Ontario",44.1632679,-77.3841343,"190 Front St, Belleville, Ontario K8N 2Y7 Canada",R119,3.9,2.5,"['Chinese', 'Asian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d976664-Reviews-Modern_Cafe-Belleville_Ontario.html
107,120,145,Darlin' Debbie's,"5503 62 Highway, Belleville, Ontario",44.21616289999999,-77.411508,"5503 62 Highway, Belleville, Ontario K8N 4Z7 Canada",R120,4.0,1.0,"['Diner', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d7790323-Reviews-Darlin_Debbie_s-Belleville_Ontario.html
108,121,146,Starbucks,"390 North Front, Belleville, Ontario",44.188590414285706,-77.39669359999998,"390 North Front St, Belleville, Ontario K8P 3E1 Canada",R121,4.4,2.5,"['American', 'Cafe']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d10335267-Reviews-Starbucks-Belleville_Ontario.html
110,123,148,Saigon Restaurant,"110 N Front, Belleville, Ontario",44.175205299999995,-77.3899115,"110 N Front Street, Belleville, Ontario K8P 3B4 Canada",R123,3.7,2.5,"['Chinese', 'Asian', 'Vietnamese']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4700055-Reviews-Saigon_Restaurant-Belleville_Ontario.html
111,124,149,Red Lion Pub,"211 Coleman St, Belleville, Ontario",44.16368573333333,-77.38611693333333,"211 Coleman St, Belleville, Ontario K8P 3H8 Canada",R124,4.3,3.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4882562-Reviews-Red_Lion_Pub-Belleville_Ontario.html
112,125,150,Papa John's Pizza,"142 North Front, Belleville, Ontario",44.1765941,-77.3908103,"142 North Front Street, Belleville, Ontario K8P 3B6 Canada",R125,4.3,1.0,"['Pizza', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d9814997-Reviews-Papa_John_s_Pizza-Belleville_Ontario.html
